발생원인_기타,피해면적_합계,화재시간,latitude ,longitude,기온,풍속,습도,강수량,임목존재코드,임종코드,임상코드,수종그룹코드,ta,ws,hm,pa,pv,td,ts,dc10Tca,dc10LmcsCa,시도,시군구,읍면동리,피해금액
767,0.0676586484738148,2.0,36.139116666666666,126.69030555555555,14.7,19.4,77.0,0.0,1.0,2.0,1.0,11.0,24.1,2.3,34.0,1009.7,10.2,7.2,37.6,0.0,0.0,충남,서천,판교,7458707
878,0.2390169004704999,2.0,36.681375,128.1157861111111,11.4,5.8,60.0,0.0,2.0,0.0,0.0,82.0,16.7,1.9,47.0,1004.4,8.9,5.3,38.0,0.0,0.0,경북,문경,마성,17484878
767,0.0295588022415443,1.0,36.86286944444445,126.58204166666668,13.6,10.1,71.0,0.0,1.0,2.0,1.0,11.0,26.2,0.9,23.0,1005.5,7.8,3.4,39.0,8.0,0.0,충남,당진,정미,5229485
270,0.1988508587451651,1.0,36.66116666666667,126.31926666666666,15.8,9.0,60.0,0.0,1.0,2.0,1.0,15.0,24.2,1.6,38.0,1006.4,11.4,8.9,38.0,7.0,0.0,충남,태안,남,15134763
793,0.3074846997479606,1.0,35.241397222222226,129.1485583333333,17.9,9.4,66.0,0.0,1.0,2.0,1.0,11.0,21.3,5.1,53.0,1000.8,13.4,11.3,32.4,0.0,0.0,부산,해운대,반송,25490929
371,0.0295588022415443,0.0,36.09595555555556,127.49302222222222,17.2,9.4,56.0,0.0,1.0,2.0,2.0,30.0,25.7,2.3,26.0,1003.7,8.5,4.7,38.2,0.0,0.0,충남,금산,남일,5229485
767,0.262364264467491,2.0,38.12205555555556,127.28314722222224,16.6,11.2,44.0,0.0,1.0,2.0,2.0,30.0,23.0,1.7,18.0,923.8,5.0,-2.6,25.7,0.0,0.0,강원,철원,갈말,18850933
233,0.2311117209633866,1.0,36.88965833333333,128.70759444444442,16.8,6.8,57.0,0.0,1.0,2.0,1.0,11.0,24.8,1.5,36.0,1001.6,11.2,8.7,29.1,10.0,0.0,경북,봉화,봉화,17022346
270,0.009950330853168,0.0,37.396591666666666,127.150675,17.3,14.4,51.0,0.0,1.0,1.0,1.0,13.0,21.6,3.2,43.0,998.1,11.0,8.4,23.3,10.0,7.0,경기,성남,분당,4082193
179,0.009950330853168,2.0,37.01733333333333,127.74645833333334,14.0,10.8,68.0,0.01,1.0,2.0,3.0,77.0,22.4,2.6,36.0,1005.2,9.7,6.5,31.9,5.0,1.0,충북,충주,신니,4082193
